search_hashtag,video_id,real_video_url,create_time,publish_date,clean_text,author_name,play_count,digg_count
francophone,7650546353742875648,https://www.tiktok.com/@placeholder/video/7650546353742875648,2026-06-12 16:27:38,,#francophone #fypシ゚viral #nyc,athalia 🎀📀⭐️🍭,0,0
francophone,7630034524012956672,https://www.tiktok.com/@placeholder/video/7630034524012956672,2026-04-18 09:50:57,,L’équipe francophone!! @Big N🔱  @dylbad @Tshieee #pourtoi #danse #congolese #francophone,ELO,0,0
francophone,7463130628695804928,https://www.tiktok.com/@placeholder/video/7463130628695804928,2025-01-23 15:18:32,,Tu as réussi à trouver les pays manquants ? 🤔 #jetpunk #francophone #languefrançaise,edgareact,0,0
francophone,7552535335427689472,https://www.tiktok.com/@placeholder/video/7552535335427689472,2025-09-21 13:34:29,,#pourtoi #dancechallenge #francophones #v,S1savs⚜️🇦🇴🇨🇩🇯🇲,0,0
francophone,7659093302351858688,https://www.tiktok.com/@placeholder/video/7659093302351858688,2026-07-05 17:13:48,,On lui montre c’est qui les meilleurs ! N’oubliez pas de taguer @Patomant & @Tifounette TLB et de mettre le #abenapatomant #beatmaker #concour,Tifounette,0,0
francophone,7525276520563117056,https://www.tiktok.com/@placeholder/video/7525276520563117056,2025-07-10 02:36:50,,#francophone #fyp,unknown00260,0,0
francophone,7647838252589714432,https://www.tiktok.com/@placeholder/video/7647838252589714432,2026-06-05 09:18:32,,Magique jusqu’au Vietnam 🇻🇳  Guide Hmong Francophone Sapa Vietnam  #magique #willylancien #france #vietnam #sapatrekking @willylancien,Sau Guide Francophone Sapa,0,0
francophone,7659701953089293312,https://www.tiktok.com/@placeholder/video/7659701953089293312,2026-07-07 08:35:47,,Le monde des fruits! Episode 1 : Elle a enfermé son fils dans une valise… sans le savoir ! 😭💔 #fruit #fruits #aifruits #FoodTok #aistory #lemondedesfruits #tiktokfrance #francophone #france #storytime,Le_monde_des_fruits🍓🥒🍍,0,0
francophone,7582753083868941312,https://www.tiktok.com/@placeholder/video/7582753083868941312,2025-12-11 23:54:51,,@ᴋᴜʟᴛᴜʀʀ ♛ 😍 #fyp #pourtoiii,ami rose,0,0
francophone,7477661593090722816,https://www.tiktok.com/@placeholder/video/7477661593090722816,2025-03-03 19:06:07,,we are here #fyp #viralvideo #relatable #pourtoii #france #pourtoipage #francophone #dance #trending,mczéle,0,0
francophone,7565524829215017984,https://www.tiktok.com/@placeholder/video/7565524829215017984,2025-10-26 13:40:20,,being francophone >> #fyp #pourtoi #🇨🇩,Ginaꨄ,0,0
francophone,7433451771852229632,https://www.tiktok.com/@placeholder/video/7433451771852229632,2024-11-04 15:49:28,,Mireille Mathieu - Une femme amoureuse (paroles) #mireillemathieu #unefemmeamoureuse #paroles #textechanson #parole #musiquefrancophone #musicfrançaise #chansonfrancaise #francophonie #paroles_rai #chanteuse #chanteusefrancaise #musique #chanson #frenchlyrics #france #tiktokmusic,inspiration_paroles,0,0
francophone,7270137401090034688,https://www.tiktok.com/@placeholder/video/7270137401090034688,2023-08-22 13:26:15,,"Si tu ne parles pas de langue etrangère mais que tu veux échanger avec les locaux en voyage, voici quelques destinations 🌍 #ideesdevoyage #ouvoyager #paysfrancophone",Bruno Maltor,0,0
francophone,7561928852100992000,https://www.tiktok.com/@placeholder/video/7561928852100992000,2025-10-16 21:06:17,,#rnb #dancehall #musique #francophone,frvrfriday,0,0
francophone,7405267549685959680,https://www.tiktok.com/@placeholder/video/7405267549685959680,2024-08-20 17:00:21,,🖤.                                                       #portoiiiii #fypsge #pagepourtoi #voorjou #voorjouwpagina #prt #voor #franc #congolaise🇨🇩ensemble #francophone #congo,𝐿𝑜𝑣𝑒𝑙𝑦 ꨄ,0,0
francophone,6825338759530155008,https://www.tiktok.com/@placeholder/video/6825338759530155008,2020-05-10 22:00:19,,Un HAMBURGER. Un CROISSANT. Un HASHBROWN  #nouveaubrunswick #franco #francophone #pourtoi #acadie,Arseneau,0,0
francophone,7586255424379309056,https://www.tiktok.com/@placeholder/video/7586255424379309056,2025-12-21 10:26:04,,"Aya Nakamura est nominé aux #VotesPR2025 dans la catégorie ""Artiste francophone"" ✨",SkyrockFM,0,0
francophone,7544857822924737536,https://www.tiktok.com/@placeholder/video/7544857822924737536,2025-08-31 21:01:47,,Canada will never make sense #quebecois #francophone #francais #chrissarault #chrisfrenchie,Chrisfrenchie🚶🏻‍♂️🎒,0,0
francophone,7168899474826251264,https://www.tiktok.com/@placeholder/video/7168899474826251264,2022-11-22 17:51:23,,Top des pays avec le plus de francophones 🇫🇷 #whatsupworld #tiktokacademie #pays #géographie #cultureg #apprendre,César - Culture G,0,0
francophone,7660037941237992448,https://www.tiktok.com/@placeholder/video/7660037941237992448,2026-07-08 06:19:35,,absolut cinema #cdm #fifa #france #suisse #belgique,compte secret,0,0
francophone,7572194785033817088,https://www.tiktok.com/@placeholder/video/7572194785033817088,2025-11-13 13:03:18,,Francophone ballers 🇨🇲X🇹🇬X🇨🇮 #mbappe #barcola #doue #ekitike #fyp,DRL9,0,0
